"[116.280626, 39.993324, 5981]","[116.280626, 39.993324, 5937]","[116.280626, 39.993324, 6620]","[116.280626, 39.993324, 6173]","[116.280626, 39.993324, 8245]"
"[116.280626, 40.003324, 5018]","[116.280626, 40.003324, 5613]","[116.280626, 40.003324, 5509]","[116.280626, 40.003324, 5967]","[116.280626, 40.003324, 6760]"
"[116.280626, 40.013324, 4239]","[116.280626, 40.013324, 4503]","[116.280626, 40.013324, 4730]","[116.280626, 40.013324, 5252]","[116.280626, 40.013324, 6579]"
"[116.280626, 40.023324, 4316]","[116.280626, 40.023324, 4580]","[116.280626, 40.023324, 4807]","[116.280626, 40.023324, 5323]","[116.280626, 40.023324, 6462]"
"[116.280626, 40.033324, 5313]","[116.280626, 40.033324, 5876]","[116.280626, 40.033324, 6520]","[116.280626, 40.033324, 6113]","[116.280626, 40.033324, 7098]"
"[116.280626, 40.043324, 4894]","[116.280626, 40.043324, 6038]","[116.280626, 40.043324, 6133]","[116.280626, 40.043324, 6766]","[116.280626, 40.043324, 7018]"
"[116.280626, 40.053324, 5774]","[116.280626, 40.053324, 5784]","[116.280626, 40.053324, 5928]","[116.280626, 40.053324, 6064]","[116.280626, 40.053324, 8593]"
"[116.290626, 39.863324, 4767]","[116.290626, 39.863324, 5625]","[116.290626, 39.863324, 5031]","[116.290626, 39.863324, 5195]","[116.290626, 39.863324, 7280]"
"[116.290626, 39.873324, 4874]","[116.290626, 39.873324, 5031]","[116.290626, 39.873324, 6096]","[116.290626, 39.873324, 5539]","[116.290626, 39.873324, 7575]"
"[116.290626, 39.883324, 4762]","[116.290626, 39.883324, 5998]","[116.290626, 39.883324, 5281]","[116.290626, 39.883324, 6084]","[116.290626, 39.883324, 6110]"
"[116.290626, 39.893324, 5790]","[116.290626, 39.893324, 6393]","[116.290626, 39.893324, 6485]","[116.290626, 39.893324, 6489]","[116.290626, 39.893324, 6824]"
"[116.290626, 39.903324, 4487]","[116.290626, 39.903324, 5044]","[116.290626, 39.903324, 5954]","[116.290626, 39.903324, 6117]","[116.290626, 39.903324, 6722]"
"[116.290626, 39.913324, 4038]","[116.290626, 39.913324, 3975]","[116.290626, 39.913324, 4386]","[116.290626, 39.913324, 5080]","[116.290626, 39.913324, 5947]"
"[116.290626, 39.923324, 4901]","[116.290626, 39.923324, 5695]","[116.290626, 39.923324, 5173]","[116.290626, 39.923324, 4978]","[116.290626, 39.923324, 5836]"
"[116.290626, 39.933324, 4152]","[116.290626, 39.933324, 4603]","[116.290626, 39.933324, 5254]","[116.290626, 39.933324, 5110]","[116.290626, 39.933324, 4870]"
"[116.290626, 39.943324, 4024]","[116.290626, 39.943324, 4677]","[116.290626, 39.943324, 4783]","[116.290626, 39.943324, 4958]","[116.290626, 39.943324, 5142]"
